jaar;swap.cra.zero.sw360
1;-0,00595
2;-0,005251839
3;-0,0044546
4;-0,003657214
5;-0,002859079
6;-0,002059564
7;-0,001448416
8;-0,000685309
9;1,00975E-05
10;0,00065762
11;0,001182543
12;0,00179769
13;0,002365022
14;0,002811161
15;0,003112356
16;0,003275768
17;0,0033872
18;0,00352378
19;0,003738559
20;0,00406872
21;0,004529579
22;0,005088705
23;0,005712543
24;0,006376703
25;0,007063397
26;0,007759633
27;0,008455943
28;0,00914547
29;0,009823298
30;0,010485966
31;0,011131105
32;0,011757164
33;0,012363213
34;0,012948783
35;0,01351375
36;0,014058249
37;0,014582603
38;0,015087271
39;0,015572807
40;0,01603983
41;0,016489002
42;0,016921005
43;0,017336534
44;0,017736279
45;0,018120926
46;0,018491141
47;0,018847577
48;0,019190863
49;0,019521603
50;0,01984038
51;0,02014775
52;0,020444245
53;0,020730371
54;0,02100661
55;0,02127342
56;0,021531237
57;0,021780474
58;0,022021521
59;0,022254751
60;0,022480516
61;0,022699148
62;0,022910963
63;0,023116261
64;0,023315326
65;0,023508425
66;0,023695813
67;0,023877733
68;0,024054411
69;0,024226066
70;0,024392903
71;0,024555117
72;0,024712894
73;0,024866409
74;0,025015831
75;0,025161317
76;0,025303019
77;0,02544108
78;0,025575638
79;0,025706822
80;0,025834756
81;0,025959559
82;0,026081342
83;0,026200214
84;0,026316277
85;0,026429628
86;0,026540361
87;0,026648565
88;0,026754325
89;0,026857723
90;0,026958836
91;0,027057739
92;0,027154504
93;0,027249199
94;0,02734189
95;0,027432639
96;0,027521506
97;0,02760855
98;0,027693826
99;0,027777386
100;0,027859283
101;0,027939565
102;0,028018279
103;0,028095472
104;0,028171186
105;0,028245463
106;0,028318345
107;0,02838987
108;0,028460075
109;0,028528997
110;0,028596671
111;0,02866313
112;0,028728406
113;0,028792531
114;0,028855535
115;0,028917448
116;0,028978296
117;0,029038108
118;0,02909691
119;0,029154727
120;0,029211583
121;0,029267502
122;0,029322508
123;0,029376623
124;0,029429867
125;0,029482262
126;0,029533829
127;0,029584585
128;0,029634551
129;0,029683745
130;0,029732184
131;0,029779886
132;0,029826868
133;0,029873144
134;0,029918733
135;0,029963648
136;0,030007904
137;0,030051516
138;0,030094498
139;0,030136863
140;0,030178625
141;0,030219796
142;0,030260388
143;0,030300415
144;0,030339887
145;0,030378816
146;0,030417213
147;0,03045509
148;0,030492456
149;0,030529321
150;0,030565697
