SIMULATION;ECONOMY;CLASS;MEASURE;TERM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
1;EUR;MSCI_EMU;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;AEX;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;RENL_Rural;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;RENL_Residential;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;RENL_Retail;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;RENL_Office;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;RENL_Funds;RET_IDX;0;100;99.843;99.74213033;99.88742869;100.3864256;101.1661103;102.3108246;103.7390301;105.4594668;107.4400823;109.601194;111.8805376;114.3040812;116.8925344;119.5569803;122.1795065;124.6802939;127.139231;129.672406;132.3923464;135.4111975;138.8206713;142.6210004;146.7944657;151.3287236;156.2156713;161.450617;167.0316665;172.9592627;179.2358391;185.8655555;192.8540965;200.2085173;207.9371255;216.0493914;224.5558805;233.4682029;242.7989783;252.5618108;262.7712748;273.4429076;284.5932094;296.2396491;308.4006745;321.0957275;334.3452633;348.1707728;362.5948086;377.6410142;393.3341561;409.7001586;426.7661419;444.5604621;463.1127547;482.4539804;502.6164736;523.6339937;545.541779;568.376604;592.1768386;616.9825111;642.8353737;669.7789715;697.8587144;727.1219524;757.6180544;789.3984905;822.5169178;857.0292704;892.993853;930.4714386;969.5253708;1010.22167;1052.629145;1096.819507;1142.867495;1190.850996;1240.851179;1292.952633;1347.24351;1403.815671;1462.764842;1524.190779;1588.197433;1654.893126;1724.390737;1796.807889;1872.267151;1950.896243;2032.828255;2118.201869;2207.161595;2299.858015;2396.44804;2497.095171;2601.969781;2711.2494;2825.119016;2943.771387;3067.407372;3196.236264
1;EUR;INFLN;INFLN_IDX;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;EUR;VALN;DEF;0;1;1.001572469;1.002585364;1.001126982;0.996150619;0.988473311;0.977413685;0.963957345;0.94823161;0.930751335;0.91239882;0.893810507;0.874859401;0.855486627;0.836421259;0.818467866;0.802051366;0.786539286;0.771174092;0.755330672;0.738491364;0.720353814;0.701159014;0.681224592;0.66081308;0.640140641;0.61938444;0.598688872;0.578170827;0.557924132;0.538023303;0.518526709;0.49947925;0.480914602;0.462857124;0.445323453;0.428323852;0.411863348;0.395942679;0.380559101;0.365707053;0.351378728;0.337564537;0.324253506;0.311433605;0.299092019;0.287215378;0.275789939;0.264801746;0.254236756;0.24408094;0.234320369;0.224941281;0.215930136;0.207273655;0.198958859;0.190973087;0.183304018;0.175939684;0.168868476;0.162079149;0.155560823;0.149302985;0.143295481;0.137528512;0.131992631;0.126678732;0.121578046;0.116682129;0.111982854;0.107472402;0.103143252;0.098988176;0.09500022;0.091172704;0.087499207;0.083973562;0.080589842;0.077342354;0.074225631;0.071234424;0.068363689;0.065608585;0.062964464;0.060426863;0.057991497;0.055654253;0.053411181;0.051258492;0.049192547;0.047209854;0.045307059;0.043480945;0.041728424;0.040046531;0.038432422;0.036883365;0.035396739;0.033970029;0.032600821;0.031286799
1;EUR;FX;IDX;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
